wavelength_A,throughput_smooth,throughput_std_smooth,throughput_mean_raw,n_configs
7310.0,0.29536,0.00902,0.29545,8
7315.0,0.29542,0.00893,0.29550,8
7320.0,0.29547,0.00885,0.29555,8
7325.0,0.29552,0.00877,0.29560,8
7330.0,0.29557,0.00869,0.29565,8
7335.0,0.29562,0.00861,0.29569,8
7340.0,0.29566,0.00853,0.29573,8
7345.0,0.29571,0.00845,0.29577,8
7350.0,0.29575,0.00838,0.29580,8
7355.0,0.29579,0.00831,0.29584,8
7360.0,0.29582,0.00824,0.29587,8
7365.0,0.29586,0.00818,0.29590,8
7370.0,0.29589,0.00812,0.29593,8
7375.0,0.29592,0.00806,0.29596,8
7380.0,0.29596,0.00801,0.29599,8
7385.0,0.29599,0.00796,0.29602,8
7390.0,0.29602,0.00791,0.29604,8
7395.0,0.29604,0.00787,0.29607,8
7400.0,0.29607,0.00783,0.29609,8
7405.0,0.29610,0.00779,0.29612,8
7410.0,0.29613,0.00776,0.29614,8
7415.0,0.29615,0.00774,0.29616,8
7420.0,0.29618,0.00772,0.29618,8
7425.0,0.29620,0.00770,0.29621,8
7430.0,0.29623,0.00769,0.29623,8
7435.0,0.29625,0.00768,0.29625,8
7440.0,0.29628,0.00768,0.29627,8
7445.0,0.29630,0.00768,0.29630,8
7450.0,0.29633,0.00768,0.29632,8
7455.0,0.29636,0.00769,0.29634,8
7460.0,0.29638,0.00770,0.29637,8
7465.0,0.29641,0.00771,0.29639,8
7470.0,0.29644,0.00773,0.29642,8
7475.0,0.29646,0.00775,0.29644,8
7480.0,0.29649,0.00777,0.29647,8
7485.0,0.29652,0.00780,0.29650,8
7490.0,0.29655,0.00782,0.29652,8
7495.0,0.29658,0.00785,0.29655,8
7500.0,0.29661,0.00788,0.29658,8
7505.0,0.29664,0.00792,0.29661,8
7510.0,0.29667,0.00795,0.29664,8
7515.0,0.29671,0.00798,0.29668,8
7520.0,0.29674,0.00801,0.29671,8
7525.0,0.29677,0.00805,0.29675,8
7530.0,0.29681,0.00808,0.29678,8
7535.0,0.29684,0.00811,0.29682,8
7540.0,0.29688,0.00814,0.29685,8
7545.0,0.29692,0.00817,0.29689,8
7550.0,0.29696,0.00820,0.29693,8
7555.0,0.29700,0.00822,0.29697,8
7560.0,0.29704,0.00824,0.29701,8
7565.0,0.29708,0.00826,0.29705,8
7570.0,0.29712,0.00828,0.29710,8
7575.0,0.29716,0.00829,0.29714,8
7580.0,0.29720,0.00830,0.29718,8
7585.0,0.29725,0.00831,0.29723,8
7590.0,0.29729,0.00831,0.29727,8
7595.0,0.29733,0.00831,0.29732,8
7600.0,0.29738,0.00830,0.29736,8
7605.0,0.29742,0.00829,0.29741,8
7610.0,0.29747,0.00827,0.29746,8
7615.0,0.29751,0.00825,0.29751,8
7620.0,0.29756,0.00823,0.29755,8
7625.0,0.29760,0.00819,0.29760,8
7630.0,0.29765,0.00816,0.29765,8
7635.0,0.29769,0.00812,0.29770,8
7640.0,0.29774,0.00807,0.29775,8
7645.0,0.29779,0.00802,0.29779,8
7650.0,0.29783,0.00796,0.29784,8
7655.0,0.29787,0.00790,0.29789,8
7660.0,0.29792,0.00784,0.29793,8
7665.0,0.29796,0.00777,0.29798,8
7670.0,0.29801,0.00769,0.29803,8
7675.0,0.29805,0.00761,0.29807,8
7680.0,0.29809,0.00753,0.29812,8
7685.0,0.29813,0.00744,0.29816,8
7690.0,0.29817,0.00735,0.29820,8
7695.0,0.29821,0.00725,0.29824,8
7700.0,0.29825,0.00716,0.29829,8
7705.0,0.29829,0.00706,0.29832,8
7710.0,0.29832,0.00695,0.29836,8
7715.0,0.29836,0.00685,0.29840,8
