grating,cw,slicer,night,setup,star,npix,disp,blue_px,red_px,blue_A,red_A,fitcut_blue_A,fitcut_red_A,par_blue,par_red,par_ok,deliv_lo,deliv_hi,sens_lo,sens_hi,fit_lo,fit_hi,tag
RH1,6520,Large,2023-10-16,B,g191b2b,2175,0.28759765625,121,127,34.559132181922905,36.396334732508876,0.0,0.0,120,126,True,6197.87646484375,6823.466796875,6232.435597025673,6787.070462142491,6232.435597025673,6787.070462142491,g191b2b_2023-10-16_B_v1
RH1,6520,Large,2023-10-16,B,g191b2b,2175,0.28759765625,121,127,34.566944681922905,36.388033951258876,0.0,0.0,120,126,True,6197.86865234375,6823.45849609375,6232.435597025673,6787.070462142491,6232.435597025673,6787.070462142491,g191b2b_2023-10-16_B_v2
RH1,6520,Large,2023-10-17,C,g191b2b,2171,0.2890625,127,127,36.46458827701008,36.60173251443484,0.0,0.0,126,126,True,6196.13720703125,6823.4912109375,6232.60179530826,6786.889478423065,6232.60179530826,6786.889478423065,g191b2b_2023-10-17_C_v1
RH1,6520,Large,2023-10-17,C,g191b2b,2171,0.2890625,127,127,36.47240077701008,36.59294345193484,0.0,0.0,126,126,True,6196.12939453125,6823.482421875,6232.60179530826,6786.889478423065,6232.60179530826,6786.889478423065,g191b2b_2023-10-17_C_v2
RH1,6520,Large,2023-10-20,B,g191b2b,2170,0.2890625,126,126,36.298878275672905,36.26872470193484,0.0,0.0,125,125,True,6196.13671875,6823.158203125,6232.435597025673,6786.889478423065,6232.435597025673,6786.889478423065,g191b2b_2023-10-20_B_v1
RH1,6520,Large,2023-10-20,B,g191b2b,2170,0.2890625,126,126,36.138543799921536,36.26188876443484,0.0,0.0,125,125,True,6196.130859375,6823.1513671875,6232.2694031749215,6786.889478423065,6232.2694031749215,6786.889478423065,g191b2b_2023-10-20_B_v2
RH1,6600,Large,2023-11-17,C,feige34,2179,0.28466796875,126,132,35.67617444201278,37.38975257943275,0.0,0.0,125,131,True,6279.740234375,6899.62060546875,6315.416408817013,6862.230852889317,6315.416408817013,6862.230852889317,feige34_2023-11-17_C
RH1,6680,Small,2023-11-08,A,g191b2b,4496,0.14013671875,369,382,51.54053561320325,53.49247067782471,0.0,0.0,368,381,True,6354.10791015625,6983.580078125,6405.648445769453,6930.087607447175,6405.648445769453,6930.087607447175,g191b2b_2023-11-08_A_v1
RH1,6680,Small,2023-11-08,A,g191b2b,4496,0.14013671875,369,382,51.54785983195325,53.48416989657471,0.0,0.0,368,381,True,6354.1005859375,6983.57177734375,6405.648445769453,6930.087607447175,6405.648445769453,6930.087607447175,g191b2b_2023-11-08_A_v2
RH2,6750,Medium,2024-10-29,B,feige110,2234,0.39013671875,171,207,66.47788184478668,80.46951513670138,0.0,0.0,170,206,True,6341.0498046875,7212.47216796875,6407.527686532287,7132.002652832049,6407.527686532287,7132.002652832049,feige110_2024-10-29_B
RH2,6750,Medium,2024-11-06,B,feige110,2246,0.3896484375,165,226,63.96104001276035,87.73339519436922,0.0,0.0,164,225,True,6340.66259765625,7215.55322265625,6404.62363766901,7127.819827461881,6404.62363766901,7127.819827461881,feige110_2024-11-06_B
RH2,6750,Medium,2024-11-07,B,feige110,2259,0.39111328125,169,235,65.76750835999428,91.5590959593992,0.0,0.0,168,234,True,6341.41845703125,7224.13232421875,6407.185965391244,7132.573228259351,6407.185965391244,7132.573228259351,feige110_2024-11-07_B
RH2,6900,Large,2023-11-17,B,feige110,2195,0.37109375,150,252,55.31939514755504,93.25899477501662,0.0,0.0,149,251,True,6488.10009765625,7302.126953125,6543.419492803805,7208.867958349983,6543.419492803805,7208.867958349983,feige110_2023-11-17_B
RH2,6950,Large,2023-09-16,C,g191b2b,2194,0.36865234375,150,147,55.02051334130738,53.85938781454297,0.0,0.0,149,146,True,6541.6591796875,7350.33740234375,6596.679693028807,7296.478014529207,6596.679693028807,7296.478014529207,g191b2b_2023-09-16_C
RH2,7100,Large,2023-09-16,B,g191b2b,2189,0.36181640625,144,142,51.88152426675879,51.19991094272973,0.0,0.0,143,141,True,6698.72802734375,7490.9072265625,6750.609551610509,7439.70731561977,6750.609551610509,7439.70731561977,g191b2b_2023-09-16_B
RH2,7100,Large,2023-11-07,B,feige110,2189,0.3623046875,144,142,51.79019984182378,51.172867865252556,0.0,0.0,143,141,True,6697.37939453125,7489.68994140625,6749.169594373074,7438.517073540997,6749.169594373074,7438.517073540997,feige110_2023-11-07_B
RH2,7100,Large,2023-11-17,C,feige110,2195,0.36083984375,172,142,61.82111239550977,51.097297249825715,0.0,0.0,171,141,True,6697.25439453125,7489.416015625,6759.07550692676,7438.318718375174,6759.07550692676,7438.318718375174,feige110_2023-11-17_C
RH3,8400,Medium,2024-10-01,B,g191b2b,2244,0.41357421875,209,182,86.22441236075429,74.92990289119734,0.0,0.0,208,181,True,7923.39990234375,8851.2392578125,8009.624314704504,8776.309354921303,8009.624314704504,8776.309354921303,g191b2b_2024-10-01_B
RH3,8600,Medium,2023-11-12,B,feige110,2224,0.404296875,180,177,72.48189015983189,71.36660037175534,4.379355403747468,0.0,179,176,True,8136.7294921875,9036.4345703125,8209.211382347332,8965.067969940745,8213.59073775108,8965.067969940745,feige110_2023-11-12_B
RH3,8600,Medium,2024-10-29,B,feige110,2221,0.404296875,177,177,71.31005155490493,71.35427537259602,5.255086376264444,0.2390429802599101,176,176,True,8137.24462890625,9035.705078125,8208.554680461155,8964.350802752404,8213.80976683742,8964.111759772144,feige110_2024-10-29_B
RH3,8600,Medium,2024-11-06,B,feige110,2221,0.40478515625,177,176,71.41307889865493,70.96601403846398,5.036057289924429,0.0,176,175,True,8137.1416015625,9035.794921875,8208.554680461155,8964.828907836536,8213.59073775108,8964.828907836536,feige110_2024-11-06_B
RH4,9950,Large,2024-12-28,B,feige110,2193,0.4755859375,137,586,64.74123142620738,278.57405103485326,0.0,0.0,136,585,True,9415.169921875,10458.326171875,9479.911153301207,10179.752120840147,9479.911153301207,10179.752120840147,feige110_2024-12-28_B
RH4,9950,Large,2024-12-28,B,feige34,2193,0.4755859375,134,419,63.51551343196297,199.00034320015038,0.0,25.142386656250892,133,418,True,9416.6484375,10459.96875,9480.163950931963,10260.96840679985,9480.163950931963,10235.826020143599,feige34_2024-12-28_B
