grating,wavelength_A,composite_pct,sd_pct,n_blazes,n_effective
RL,5881,20.973,0.443,3,2.66
RL,5882,20.989,0.443,3,2.67
RL,5883,21.005,0.444,3,2.68
RL,5884,21.021,0.444,3,2.68
RL,5885,21.037,0.444,3,2.69
RL,5886,21.053,0.445,3,2.69
RL,5887,21.069,0.445,3,2.70
RL,5888,21.084,0.446,3,2.71
RL,5889,21.100,0.446,3,2.71
RL,5890,21.115,0.447,3,2.72
RL,5891,21.131,0.447,3,2.72
RL,5892,21.146,0.448,3,2.73
RL,5893,21.162,0.448,3,2.73
RL,5894,21.177,0.449,3,2.74
RL,5895,21.192,0.449,3,2.75
RL,5896,21.207,0.450,3,2.75
RL,5897,21.222,0.450,3,2.76
RL,5898,21.237,0.451,3,2.76
RL,5899,21.252,0.451,3,2.77
RL,5900,21.267,0.452,3,2.77
RL,5901,21.282,0.452,3,2.78
RL,5902,21.297,0.453,3,2.78
RL,5903,21.312,0.453,3,2.79
RL,5904,21.327,0.454,3,2.79
RL,5905,21.341,0.454,3,2.80
RL,5906,21.356,0.455,3,2.80
RL,5907,21.370,0.455,3,2.81
RL,5908,21.385,0.456,3,2.81
RL,5909,21.399,0.456,3,2.82
RL,5910,21.413,0.457,3,2.82
RL,5911,21.428,0.457,3,2.83
RL,5912,21.442,0.458,3,2.83
RL,5913,21.456,0.459,3,2.84
RL,5914,21.470,0.459,3,2.84
RL,5915,21.484,0.460,3,2.85
RL,5916,21.498,0.460,3,2.85
RL,5917,21.512,0.461,3,2.85
RL,5918,21.526,0.461,3,2.86
RL,5919,21.540,0.462,3,2.86
RL,5920,21.554,0.462,3,2.87
RL,5921,21.567,0.463,3,2.87
RL,5922,21.581,0.463,3,2.88
RL,5923,21.595,0.464,3,2.88
RL,5924,21.608,0.465,3,2.88
RL,5925,21.622,0.465,3,2.89
RL,5926,21.635,0.466,3,2.89
RL,5927,21.649,0.466,3,2.90
RL,5928,21.662,0.467,3,2.90
RL,5929,21.675,0.468,3,2.90
RL,5930,21.688,0.468,3,2.91
RL,5931,21.702,0.469,3,2.91
RL,5932,21.715,0.469,3,2.91
RL,5933,21.728,0.470,3,2.92
RL,5934,21.741,0.470,3,2.92
RL,5935,21.754,0.471,3,2.92
RL,5936,21.767,0.472,3,2.93
RL,5937,21.780,0.472,3,2.93
RL,5938,21.792,0.473,3,2.93
RL,5939,21.805,0.473,3,2.94
RL,5940,21.818,0.474,3,2.94
RL,5941,21.830,0.475,3,2.94
RL,5942,21.843,0.475,3,2.95
RL,5943,21.856,0.476,3,2.95
RL,5944,21.868,0.477,3,2.95
RL,5945,21.881,0.477,3,2.95
RL,5946,21.893,0.478,3,2.96
RL,5947,21.905,0.478,3,2.96
RL,5948,21.918,0.479,3,2.96
RL,5949,21.930,0.480,3,2.96
RL,5950,21.942,0.480,3,2.97
RL,5951,21.954,0.481,3,2.97
RL,5952,21.966,0.482,3,2.97
RL,5953,21.978,0.482,3,2.97
RL,5954,21.990,0.483,3,2.98
RL,5955,22.002,0.484,3,2.98
RL,5956,22.014,0.484,3,2.98
RL,5957,22.026,0.485,3,2.98
RL,5958,22.038,0.486,3,2.98
RL,5959,22.049,0.486,3,2.98
RL,5960,22.061,0.487,3,2.99
RL,5961,22.073,0.488,3,2.99
RL,5962,22.084,0.488,3,2.99
RL,5963,22.096,0.489,3,2.99
RL,5964,22.107,0.490,3,2.99
RL,5965,22.119,0.490,3,2.99
RL,5966,22.130,0.491,3,2.99
RL,5967,22.142,0.492,3,2.99
RL,5968,22.153,0.492,3,3.00
RL,5969,22.164,0.493,3,3.00
RL,5970,22.175,0.494,3,3.00
RL,5971,22.187,0.494,3,3.00
RL,5972,22.198,0.495,3,3.00
RL,5973,22.209,0.496,3,3.00
RL,5974,22.220,0.496,3,3.00
RL,5975,22.231,0.497,3,3.00
RL,5976,22.242,0.498,3,3.00
RL,5977,22.253,0.499,3,3.00
RL,5978,22.264,0.499,3,3.00
RL,5979,22.274,0.500,3,3.00
RL,5980,22.285,0.501,3,3.00
RL,5981,22.296,0.501,3,3.00
RL,5982,22.307,0.502,3,3.00
RL,5983,22.317,0.503,3,3.00
RL,5984,22.328,0.504,3,3.00
RL,5985,22.338,0.504,3,3.00
RL,5986,22.349,0.505,3,3.00
RL,5987,22.359,0.506,3,3.00
RL,5988,22.370,0.507,3,3.00
RL,5989,22.380,0.507,3,3.00
RL,5990,22.391,0.508,3,3.00
RL,5991,22.401,0.509,3,3.00
RL,5992,22.411,0.509,3,3.00
RL,5993,22.421,0.510,3,3.00
RL,5994,22.431,0.511,3,3.00
RL,5995,22.442,0.512,3,3.00
RL,5996,22.452,0.512,3,3.00
RL,5997,22.462,0.513,3,3.00
RL,5998,22.472,0.514,3,3.00
RL,5999,22.482,0.515,3,3.00
RL,6000,22.492,0.516,3,3.00
RL,6001,22.502,0.516,3,3.00
RL,6002,22.511,0.517,3,3.00
RL,6003,22.521,0.518,3,3.00
RL,6004,22.531,0.519,3,3.00
RL,6005,22.541,0.519,3,3.00
RL,6006,22.550,0.520,3,3.00
RL,6007,22.560,0.521,3,3.00
RL,6008,22.570,0.522,3,3.00
RL,6009,22.579,0.522,3,3.00
RL,6010,22.589,0.523,3,3.00
RL,6011,22.598,0.524,3,3.00
RL,6012,22.608,0.525,3,3.00
RL,6013,22.617,0.526,3,3.00
RL,6014,22.627,0.526,3,3.00
RL,6015,22.636,0.527,3,3.00
RL,6016,22.645,0.528,3,3.00
RL,6017,22.654,0.529,3,3.00
RL,6018,22.664,0.530,3,3.00
RL,6019,22.673,0.530,3,3.00
RL,6020,22.682,0.531,3,3.00
RL,6021,22.691,0.532,3,3.00
RL,6022,22.700,0.533,3,3.00
RL,6023,22.709,0.534,3,3.00
RL,6024,22.718,0.535,3,3.00
RL,6025,22.727,0.535,3,3.00
RL,6026,22.736,0.536,3,3.00
RL,6027,22.745,0.537,3,3.00
RL,6028,22.754,0.538,3,3.00
RL,6029,22.763,0.539,3,3.00
RL,6030,22.772,0.539,3,3.00
RL,6031,22.781,0.540,3,3.00
RL,6032,22.789,0.541,3,3.00
RL,6033,22.798,0.542,3,3.00
RL,6034,22.807,0.543,3,3.00
RL,6035,22.815,0.544,3,3.00
RL,6036,22.824,0.544,3,3.00
RL,6037,22.832,0.545,3,3.00
RL,6038,22.841,0.546,3,3.00
RL,6039,22.850,0.547,3,3.00
RL,6040,22.858,0.548,3,3.00
RL,6041,22.866,0.549,3,3.00
RL,6042,22.875,0.550,3,3.00
RL,6043,22.883,0.550,3,3.00
RL,6044,22.892,0.551,3,3.00
RL,6045,22.900,0.552,3,3.00
RL,6046,22.908,0.553,3,3.00
RL,6047,22.916,0.554,3,3.00
RL,6048,22.925,0.555,3,3.00
RL,6049,22.933,0.556,3,3.00
RL,6050,22.941,0.557,3,3.00
RL,6051,22.949,0.557,3,3.00
RL,6052,22.957,0.558,3,3.00
RL,6053,22.965,0.559,3,3.00
RL,6054,22.973,0.560,3,3.00
RL,6055,22.981,0.561,3,3.00
RL,6056,22.989,0.562,3,3.00
RL,6057,22.997,0.563,3,3.00
RL,6058,23.005,0.564,3,3.00
RL,6059,23.013,0.564,3,3.00
RL,6060,23.021,0.565,3,3.00
RL,6061,23.029,0.566,3,3.00
RL,6062,23.037,0.567,3,3.00
RL,6063,23.044,0.568,3,3.00
RL,6064,23.052,0.569,3,3.00
RL,6065,23.060,0.570,3,3.00
RL,6066,23.068,0.571,3,3.00
RL,6067,23.075,0.572,3,3.00
RL,6068,23.083,0.573,3,3.00
RL,6069,23.091,0.573,3,3.00
RL,6070,23.098,0.574,3,3.00
RL,6071,23.106,0.575,3,3.00
RL,6072,23.113,0.576,3,3.00
RL,6073,23.121,0.577,3,3.00
RL,6074,23.128,0.578,3,3.00
RL,6075,23.136,0.579,3,3.00
RL,6076,23.143,0.580,3,3.00
RL,6077,23.151,0.581,3,3.00
RL,6078,23.158,0.582,3,3.00
RL,6079,23.165,0.583,3,3.00
RL,6080,23.173,0.584,3,3.00
RL,6081,23.180,0.585,3,3.00
RL,6082,23.187,0.585,3,3.00
RL,6083,23.195,0.586,3,3.00
RL,6084,23.202,0.587,3,3.00
RL,6085,23.209,0.588,3,3.00
RL,6086,23.216,0.589,3,3.00
RL,6087,23.223,0.590,3,3.00
RL,6088,23.231,0.591,3,3.00
RL,6089,23.238,0.592,3,3.00
RL,6090,23.245,0.593,3,3.00
RL,6091,23.252,0.594,3,3.00
RL,6092,23.259,0.595,3,3.00
RL,6093,23.266,0.596,3,3.00
RL,6094,23.273,0.597,3,3.00
RL,6095,23.280,0.598,3,3.00
RL,6096,23.287,0.599,3,3.00
RL,6097,23.294,0.600,3,3.00
RL,6098,23.301,0.601,3,3.00
RL,6099,23.308,0.602,3,3.00
RL,6100,23.315,0.603,3,3.00
RL,6101,23.322,0.604,3,3.00
RL,6102,23.328,0.605,3,3.00
RL,6103,23.335,0.606,3,3.00
RL,6104,23.342,0.607,3,3.00
RL,6105,23.349,0.607,3,3.00
RL,6106,23.356,0.608,3,3.00
RL,6107,23.362,0.609,3,3.00
RL,6108,23.369,0.610,3,3.00
RL,6109,23.376,0.611,3,3.00
RL,6110,23.382,0.612,3,3.00
RL,6111,23.389,0.613,3,3.00
RL,6112,23.396,0.614,3,3.00
RL,6113,23.402,0.615,3,3.00
RL,6114,23.409,0.616,3,3.00
RL,6115,23.416,0.617,3,3.00
RL,6116,23.422,0.618,3,3.00
RL,6117,23.429,0.619,3,3.00
RL,6118,23.435,0.620,3,3.00
RL,6119,23.442,0.621,3,3.00
RL,6120,23.448,0.622,3,3.00
RL,6121,23.455,0.623,3,3.00
RL,6122,23.461,0.624,3,3.00
RL,6123,23.468,0.625,3,3.00
RL,6124,23.474,0.626,3,3.00
RL,6125,23.481,0.627,3,3.00
RL,6126,23.487,0.628,3,3.00
RL,6127,23.494,0.629,3,3.00
RL,6128,23.500,0.630,3,3.00
RL,6129,23.506,0.631,3,3.00
RL,6130,23.513,0.632,3,3.00
RL,6131,23.519,0.634,3,3.00
RL,6132,23.525,0.635,3,3.00
RL,6133,23.532,0.636,3,3.00
RL,6134,23.538,0.637,3,3.00
RL,6135,23.544,0.638,3,3.00
RL,6136,23.550,0.639,3,3.00
RL,6137,23.557,0.640,3,3.00
RL,6138,23.563,0.641,3,3.00
RL,6139,23.569,0.642,3,3.00
RL,6140,23.575,0.643,3,3.00
RL,6141,23.582,0.644,3,3.00
RL,6142,23.588,0.645,3,3.00
RL,6143,23.594,0.646,3,3.00
RL,6144,23.600,0.647,3,3.00
RL,6145,23.606,0.648,3,3.00
RL,6146,23.612,0.649,3,3.00
RL,6147,23.619,0.650,3,3.00
RL,6148,23.625,0.651,3,3.00
RL,6149,23.631,0.652,3,3.00
RL,6150,23.637,0.653,3,3.00
RL,6151,23.643,0.654,3,3.00
RL,6152,23.649,0.655,3,3.00
RL,6153,23.655,0.656,3,3.00
RL,6154,23.661,0.657,3,3.00
RL,6155,23.667,0.658,3,3.00
RL,6156,23.673,0.660,3,3.00
RL,6157,23.679,0.661,3,3.00
RL,6158,23.685,0.662,3,3.00
RL,6159,23.691,0.663,3,3.00
RL,6160,23.697,0.664,3,3.00
RL,6161,23.703,0.665,3,3.00
RL,6162,23.709,0.666,3,3.00
RL,6163,23.715,0.667,3,3.00
RL,6164,23.721,0.668,3,3.00
RL,6165,23.727,0.669,3,3.00
RL,6166,23.733,0.670,3,3.00
RL,6167,23.739,0.671,3,3.00
RL,6168,23.745,0.672,3,3.00
RL,6169,23.751,0.673,3,3.00
RL,6170,23.757,0.675,3,3.00
RL,6171,23.763,0.676,3,3.00
RL,6172,23.769,0.677,3,3.00
RL,6173,23.775,0.678,3,3.00
RL,6174,23.781,0.679,3,3.00
RL,6175,23.787,0.680,3,3.00
RL,6176,23.792,0.681,3,3.00
RL,6177,23.798,0.682,3,3.00
RL,6178,23.804,0.683,3,3.00
RL,6179,23.810,0.684,3,3.00
RL,6180,23.816,0.685,3,3.00
RL,6181,23.822,0.687,3,3.00
RL,6182,23.828,0.688,3,3.00
RL,6183,23.833,0.689,3,3.00
RL,6184,23.839,0.690,3,3.00
RL,6185,23.845,0.691,3,3.00
RL,6186,23.851,0.692,3,3.00
RL,6187,23.857,0.693,3,3.00
RL,6188,23.863,0.694,3,3.00
RL,6189,23.869,0.695,3,3.00
RL,6190,23.874,0.696,3,3.00
RL,6191,23.880,0.698,3,3.00
RL,6192,23.886,0.699,3,3.00
RL,6193,23.892,0.700,3,3.00
RL,6194,23.898,0.701,3,3.00
RL,6195,23.903,0.702,3,3.00
RL,6196,23.909,0.703,3,3.00
RL,6197,23.915,0.704,3,3.00
RL,6198,23.921,0.705,3,3.00
RL,6199,23.927,0.706,3,3.00
RL,6200,23.932,0.708,3,3.00
RL,6201,23.938,0.709,3,3.00
