# RH4 arc line list -- ThAr, 9200-10800 A, amplitude >= 100
# Built by build_rh4_linelist.py from ThAr_lines.dat
# PypeIt's default KCWI list (FeI/ArI/ArII) holds 4 lines above 9550 A; RH4 is centred at 9950.
# Creation Date: 2018-Jan-09
|   ion |       wave | NIST | Instr | amplitude |      Source |
| Ar II | 10025.0326 |    1 |     0 |       117 | NIST+MURPHY |
|  Th I | 10035.9718 |    1 |     0 |       300 |        NIST |
|  Th I |   10039.87 |    1 |     0 |       150 | NIST+MURPHY |
|  Th I | 10041.8476 |    1 |     0 |       260 |        NIST |
|  Th I | 10042.1156 |    1 |     0 |      6700 | NIST+MURPHY |
|  Th I | 10048.0658 |    1 |     0 |       220 | NIST+MURPHY |
|  Th I | 10050.7905 |    1 |     0 |       410 |        NIST |
|  Ar I |   10054.82 |    1 |     0 |       180 |        NIST |
|  Th I |  10056.128 |    1 |     0 |       380 |        NIST |
|  Th I | 10058.9654 |    1 |     0 |       180 | NIST+MURPHY |
|  Th I | 10082.3041 |    1 |     0 |       160 |        NIST |
|  Th I | 10083.9865 |    1 |     0 |       110 |        NIST |
|  Th I | 10085.6428 |    1 |     0 |       710 |        NIST |
|  Th I | 10086.5491 |    1 |     0 |      2600 | NIST+MURPHY |
|  Th I | 10089.1679 |    1 |     0 |       270 |        NIST |
|  Th I | 10091.9001 |    1 |     0 |      8300 | NIST+MURPHY |
|  Th I | 10105.3433 |    1 |     0 |       150 |        NIST |
|  Th I | 10107.8465 |    1 |     0 |       150 |        NIST |
|  Th I |  10109.768 |    1 |     0 |       360 |        NIST |
| Ar II | 10114.3641 |    1 |     0 |       229 | NIST+MURPHY |
|  Th I | 10114.6454 |    1 |     0 |       130 |        NIST |
|  Th I | 10120.7631 |    1 |     0 |       270 |        NIST |
|  Th I | 10134.1441 |    1 |     0 |       130 |        NIST |
| Th II | 10136.3434 |    1 |     0 |      2100 | NIST+MURPHY |
|  Th I | 10140.1647 |    1 |     0 |       190 | NIST+MURPHY |
|  Th I |   10143.21 |    1 |     0 |      1300 | NIST+MURPHY |
|  Th I | 10144.1763 |    1 |     0 |      4200 | NIST+MURPHY |
|  Th I |  10147.045 |    1 |     0 |       720 |        NIST |
|  Th I |  10163.106 |    1 |     0 |       380 |        NIST |
|  Th I | 10177.7964 |    1 |     0 |      1200 | NIST+MURPHY |
|  Th I | 10181.3086 |    1 |     0 |      1500 | NIST+MURPHY |
|  Th I | 10183.3833 |    1 |     0 |       290 | NIST+MURPHY |
|  Th I | 10187.3301 |    1 |     0 |       180 |        NIST |
|  Th I | 10191.2077 |    1 |     0 |       490 | NIST+MURPHY |
|  Th I | 10214.3313 |    1 |     0 |       210 |        NIST |
|  Th I | 10217.2364 |    1 |     0 |       100 |        NIST |
|  Th I | 10221.2329 |    1 |     0 |      1300 | NIST+MURPHY |
|  Th I |   10226.46 |    1 |     0 |       300 | NIST+MURPHY |
|  Th I |  10238.833 |    1 |     0 |       850 | NIST+MURPHY |
|  Th I | 10244.5812 |    1 |     0 |       210 |        NIST |
|  Th I | 10250.3649 |    1 |     0 |      1000 |        NIST |
|  Th I | 10253.4881 |    1 |     0 |       700 |        NIST |
|  Th I | 10258.3906 |    1 |     0 |       150 |        NIST |
|  Th I | 10260.1798 |    1 |     0 |      2600 |        NIST |
|  Th I | 10274.0025 |    1 |     0 |       150 |        NIST |
|  Th I | 10274.8725 |    1 |     0 |       170 |        NIST |
| Ar II | 10276.5144 |    1 |     0 |       107 |        NIST |
|  Th I |  10278.507 |    1 |     0 |       380 |        NIST |
|  Th I | 10285.9339 |    1 |     0 |       910 | NIST+MURPHY |
| Th II | 10291.8112 |    1 |     0 |       120 |        NIST |
|  Th I | 10295.8696 |    1 |     0 |       500 |        NIST |
|  Th I |  10297.531 |    1 |     0 |       390 |        NIST |
| Th II | 10303.9895 |    1 |     0 |       430 |        NIST |
|  Th I | 10306.8992 |    1 |     0 |       160 |        NIST |
|  Th I | 10311.3689 |    1 |     0 |      1900 | NIST+MURPHY |
|  Th I | 10317.7203 |    1 |     0 |       160 |        NIST |
|  Th I | 10319.7179 |    1 |     0 |      1000 |        NIST |
|  Th I | 10337.7566 |    1 |     0 |       180 |        NIST |
|  Th I | 10347.1158 |    1 |     0 |       100 |        NIST |
|  Th I | 10349.3716 |    1 |     0 |       250 |        NIST |
|  Th I | 10351.8839 |    1 |     0 |      1200 | NIST+MURPHY |
|  Th I |   10360.45 |    1 |     0 |       360 |        NIST |
|  Th I | 10361.0058 |    1 |     0 |       330 |        NIST |
|  Th I | 10372.3672 |    1 |     0 |       610 |        NIST |
|  Th I | 10380.3318 |    1 |     0 |       130 |        NIST |
|  Th I | 10380.9854 |    1 |     0 |       110 |        NIST |
|  Th I | 10390.3421 |    1 |     0 |       110 |        NIST |
|  Th I | 10405.9015 |    1 |     0 |       140 |        NIST |
|  Th I | 10413.2827 |    1 |     0 |       180 |        NIST |
|  Th I | 10415.8444 |    1 |     0 |       600 |        NIST |
| Th II | 10422.4334 |    1 |     0 |      1200 | NIST+MURPHY |
|  Th I |  10424.364 |    1 |     0 |       350 |        NIST |
| Th II |  10432.528 |    1 |     0 |       540 |        NIST |
|  Th I | 10437.7469 |    1 |     0 |       110 |        NIST |
|  Th I | 10437.9539 |    1 |     0 |       490 |        NIST |
|  Th I | 10439.7238 |    1 |     0 |       200 |        NIST |
|  Th I | 10442.3657 |    1 |     0 |       360 |        NIST |
|  Th I | 10453.3052 |    1 |     0 |       740 |        NIST |
|  Th I | 10462.5863 |    1 |     0 |       680 |        NIST |
| Ar II | 10470.0475 |    1 |     0 |       617 |        NIST |
|  Ar I |  10472.923 |    1 |     0 |      1600 |        NIST |
|  Th I |  10484.042 |    1 |     0 |       340 |        NIST |
| Th II | 10486.2384 |    1 |     0 |       170 |        NIST |
|  Th I | 10495.1322 |    1 |     0 |      2400 |        NIST |
|  Th I | 10497.7151 |    1 |     0 |      2700 |        NIST |
|  Th I | 10498.4793 |    1 |     0 |       100 |        NIST |
|  Th I | 10501.3681 |    1 |     0 |      2200 | NIST+MURPHY |
|  Th I | 10505.4661 |    1 |     0 |       420 |        NIST |
|  Ar I |   10509.38 |    1 |     0 |       180 | NIST+MURPHY |
|  Th I | 10515.0843 |    1 |     0 |      2000 | NIST+MURPHY |
|  Th I | 10521.0667 |    1 |     0 |       270 |        NIST |
| Ar II | 10522.3882 |    1 |     0 |       162 |        NIST |
|  Th I | 10528.7219 |    1 |     0 |       550 |        NIST |
|  Th I | 10530.6702 |    1 |     0 |      2000 |        NIST |
|  Th I | 10536.2689 |    1 |     0 |       260 | NIST+MURPHY |
|  Th I | 10539.7503 |    1 |     0 |       140 | NIST+MURPHY |
|  Th I | 10543.1016 |    1 |     0 |       100 | NIST+MURPHY |
|  Th I |  10543.842 |    1 |     0 |      1100 | NIST+MURPHY |
|  Th I | 10548.1817 |    1 |     0 |       130 | NIST+MURPHY |
|  Th I | 10557.7277 |    1 |     0 |       500 | NIST+MURPHY |
|  Th I | 10559.3419 |    1 |     0 |      5100 | NIST+MURPHY |
|  Th I | 10568.1988 |    1 |     0 |      6000 | NIST+MURPHY |
|  Th I |  10572.038 |    1 |     0 |       320 |        NIST |
|  Th I | 10579.2543 |    1 |     0 |       130 | NIST+MURPHY |
|  Th I | 10587.9212 |    1 |     0 |       160 | NIST+MURPHY |
|  Th I | 10589.9979 |    1 |     0 |       240 | NIST+MURPHY |
|  Th I | 10594.2495 |    1 |     0 |       120 | NIST+MURPHY |
|  Th I | 10599.8082 |    1 |     0 |       110 | NIST+MURPHY |
|  Th I | 10604.2418 |    1 |     0 |       130 | NIST+MURPHY |
|  Th I | 10608.3641 |    1 |     0 |       450 | NIST+MURPHY |
|  Th I | 10616.2913 |    1 |     0 |       480 | NIST+MURPHY |
|  Th I | 10617.9106 |    1 |     0 |       610 | NIST+MURPHY |
|  Th I | 10625.4533 |    1 |     0 |       170 | NIST+MURPHY |
| Ar II | 10641.0352 |    1 |     0 |       135 | NIST+MURPHY |
|  Th I | 10649.4321 |    1 |     0 |       200 |        NIST |
|  Th I |  10654.757 |    1 |     0 |       320 |        NIST |
|  Th I | 10667.1537 |    1 |     0 |      1100 | NIST+MURPHY |
|  Th I |  10669.558 |    1 |     0 |       320 |        NIST |
|  Ar I |  10676.489 |    1 |     0 |       200 | NIST+MURPHY |
|  Th I | 10681.2889 |    1 |     0 |       250 | NIST+MURPHY |
|  Th I | 10703.2863 |    1 |     0 |       130 | NIST+MURPHY |
|  Th I |  10722.985 |    1 |     0 |       310 |        NIST |
| Th II | 10726.8615 |    1 |     0 |      1400 | NIST+MURPHY |
|  Th I | 10728.3566 |    1 |     0 |      1700 | NIST+MURPHY |
|  Th I | 10729.8643 |    1 |     0 |     26000 | NIST+MURPHY |
|  Th I | 10735.1835 |    1 |     0 |       880 | NIST+MURPHY |
|  Th I | 10744.7564 |    1 |     0 |       200 |        NIST |
|  Th I | 10747.3097 |    1 |     0 |       160 | NIST+MURPHY |
|  Th I | 10752.3726 |    1 |     0 |       160 | NIST+MURPHY |
|  Th I | 10752.4344 |    1 |     0 |       150 | NIST+MURPHY |
|  Th I |  10755.414 |    1 |     0 |       130 |        NIST |
|  Th I | 10757.2758 |    1 |     0 |      1000 | NIST+MURPHY |
| Ar II | 10767.3304 |    1 |     0 |       129 | NIST+MURPHY |
|  Th I | 10775.3849 |    1 |     0 |       210 | NIST+MURPHY |
|  Th I | 10779.9319 |    1 |     0 |       800 | NIST+MURPHY |
|  Th I | 10782.0485 |    1 |     0 |       180 | NIST+MURPHY |
|  Th I |  10788.865 |    1 |     0 |       620 | NIST+MURPHY |
|  Th I | 10789.3193 |    1 |     0 |       320 | NIST+MURPHY |
